af23560.mtx,64,0.298938,207.35,111.01,33.185
thermomech_TK.mtx,3,0.0881504,48.4325,43.4031,3.826
thermomech_TK.mtx,4,0.0982528,57.9369,50.2174,4.934
thermomech_TK.mtx,8,0.143322,79.4362,76.7365,10.998
thermomech_TK.mtx,12,0.223946,76.2569,74.6744,16.723
thermomech_TK.mtx,16,0.238195,95.5933,92.399,22.009
thermomech_TK.mtx,32,0.478893,95.0937,113.94,54.565
thermomech_TK.mtx,64,1.04117,87.4776,109.773,114.293
olafu.mtx,3,0.0816704,74.5795,43.1858,3.527
olafu.mtx,4,0.085616,94.8567,56.8352,4.866
olafu.mtx,8,0.119011,136.479,79.1186,9.416
olafu.mtx,12,0.155779,156.399,89.3893,13.925
olafu.mtx,16,0.188506,172.329,95.5462,18.011
olafu.mtx,32,0.306285,212.123,121.508,37.216
olafu.mtx,64,0.559126,232.398,135.458,75.738
FEM_3D_thermal1.mtx,3,0.047152,54.8108,27.4856,1.296
FEM_3D_thermal1.mtx,4,0.0531648,64.8158,32.7096,1.739
FEM_3D_thermal1.mtx,8,0.0714304,96.4833,49.4467,3.532
FEM_3D_thermal1.mtx,12,0.0908224,113.824,56.9903,5.176
FEM_3D_thermal1.mtx,16,0.103149,133.629,66.8646,6.897
FEM_3D_thermal1.mtx,32,0.169674,162.473,90.7095,15.391
FEM_3D_thermal1.mtx,64,0.298298,184.831,98.8979,29.501
lung2.mtx,3,0.06752,43.7705,26.5255,1.791
lung2.mtx,4,0.0765376,51.4847,42.6196,3.262
lung2.mtx,8,0.106934,73.6996,53.7339,5.746
lung2.mtx,12,0.141325,83.648,63.7751,9.013
lung2.mtx,16,0.164445,95.8501,56.0614,9.219
lung2.mtx,32,0.280294,112.468,86.3699,24.209
lung2.mtx,64,0.59767,105.49,82.8065,49.491
dc1.mtx,3,0.670653,6.85657,4.7998,3.219
dc1.mtx,4,0.686218,8.93473,6.54166,4.489
dc1.mtx,8,0.743834,16.4853,16.1125,11.985
dc1.mtx,12,0.80617,22.8159,24.2914,19.583
dc1.mtx,16,2.47767,9.89828,10.8743,26.943
dc1.mtx,32,5.09213,9.63239,13.4965,68.726
dc1.mtx,64,10.3166,9.50879,13.7606,141.963
amazon0302.mtx,3,0.149933,49.4172,59.2199,8.879
amazon0302.mtx,4,0.17415,56.7269,80.5913,14.035
amazon0302.mtx,8,0.276816,71.376,96.0963,26.601
amazon0302.mtx,12,0.392496,75.5092,116.546,45.744
amazon0302.mtx,16,0.423917,93.2166,134.975,57.218
amazon0302.mtx,32,0.810138,97.554,138.472,112.181
amazon0302.mtx,64,1.65826,95.3196,122.918,203.829
roadNet-PA.mtx,3,0.315264,58.6898,91.26,28.771
roadNet-PA.mtx,4,0.380822,64.7818,97.5442,37.147
roadNet-PA.mtx,8,0.648378,76.0988,104.934,68.037
roadNet-PA.mtx,12,0.909242,81.3987,106.408,96.751
